<DATE>;Month;weekday;<TIME>;session_part;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
01.03.2017;3.00;3.00;10:05;1.00;58.4100;58.4100;58.2950;58.3725;74555000
01.03.2017;3.00;3.00;10:10;1.00;58.3700;58.4475;58.3600;58.4300;95716000
01.03.2017;3.00;3.00;10:15;1.00;58.4350;58.5275;58.4300;58.4600;95539000
01.03.2017;3.00;3.00;10:20;1.00;58.4675;58.4725;58.3800;58.4000;48097000
01.03.2017;3.00;3.00;10:25;1.00;58.4025;58.4150;58.3600;58.4075;26548000
01.03.2017;3.00;3.00;10:30;1.00;58.4100;58.4300;58.3725;58.3900;14076000
01.03.2017;3.00;3.00;10:35;1.00;58.3900;58.4525;58.3850;58.4225;11777000
01.03.2017;3.00;3.00;10:40;1.00;58.4275;58.4400;58.3875;58.3875;10107000
01.03.2017;3.00;3.00;10:45;1.00;58.3825;58.3900;58.3175;58.3575;35623000
01.03.2017;3.00;3.00;10:50;1.00;58.3500;58.3850;58.2825;58.3000;65355000
01.03.2017;3.00;3.00;10:55;1.00;58.3000;58.3325;58.2875;58.3025;49260000
01.03.2017;3.00;3.00;11:00;1.00;58.3050;58.3175;58.2700;58.3000;44490000
01.03.2017;3.00;3.00;11:05;1.00;58.3000;58.3775;58.2900;58.3725;49496000
01.03.2017;3.00;3.00;11:10;1.00;58.3675;58.3825;58.3450;58.3600;27646000
01.03.2017;3.00;3.00;11:15;1.00;58.3625;58.3725;58.3250;58.3400;17874000
01.03.2017;3.00;3.00;11:20;1.00;58.3375;58.3475;58.3250;58.3400;15446000
01.03.2017;3.00;3.00;11:25;1.00;58.3350;58.3525;58.3225;58.3350;17305000
01.03.2017;3.00;3.00;11:30;1.00;58.3375;58.3775;58.3325;58.3600;13661000
01.03.2017;3.00;3.00;11:35;1.00;58.3550;58.3625;58.3050;58.3250;23168000
01.03.2017;3.00;3.00;11:40;1.00;58.3250;58.3350;58.3050;58.3275;18269000
01.03.2017;3.00;3.00;11:45;1.00;58.3275;58.3375;58.3050;58.3225;25959000
01.03.2017;3.00;3.00;11:50;1.00;58.3250;58.3250;58.2825;58.2850;15422000
01.03.2017;3.00;3.00;11:55;1.00;58.2850;58.2875;58.2600;58.2725;23099000
01.03.2017;3.00;3.00;12:00;2.00;58.2725;58.2775;58.2325;58.2650;29335000
01.03.2017;3.00;3.00;12:05;2.00;58.2575;58.2800;58.2450;58.2575;30165000
01.03.2017;3.00;3.00;12:10;2.00;58.2550;58.2800;58.2500;58.2600;25033000
01.03.2017;3.00;3.00;12:15;2.00;58.2600;58.2675;58.2450;58.2675;10436000
01.03.2017;3.00;3.00;12:20;2.00;58.2600;58.2675;58.1900;58.2200;70136000
01.03.2017;3.00;3.00;12:25;2.00;58.2250;58.2325;58.2050;58.2150;32885000
01.03.2017;3.00;3.00;12:30;2.00;58.2200;58.2475;58.2100;58.2400;38482000
01.03.2017;3.00;3.00;12:35;2.00;58.2300;58.2575;58.2000;58.2575;38811000
01.03.2017;3.00;3.00;12:40;2.00;58.2575;58.2600;58.1900;58.2300;32957000
01.03.2017;3.00;3.00;12:45;2.00;58.2300;58.2400;58.2225;58.2300;6154000
01.03.2017;3.00;3.00;12:50;2.00;58.2300;58.2325;58.1600;58.1950;15299000
01.03.2017;3.00;3.00;12:55;2.00;58.1950;58.2050;58.1225;58.1225;55747000
01.03.2017;3.00;3.00;13:00;2.00;58.1200;58.1500;58.1050;58.1400;16566000
